id,ingri,price,subscribe,bigcat,smallcat,imageurl,quantity,keyword
33,[스마트팜産] 친환경 타임 10g,"1,600원",앙증맞은 잎이 품은 산뜻한 향미,채소,,https://img-cf.kurly.com/shop/data/goods/1625728955257l0.jpg,10g,타임
34,[스마트팜産] 친환경 딜 10g,"2,990원",청량한 향미가 돋보이는 허브,채소,,https://img-cf.kurly.com/shop/data/goods/1625728355589l0.jpg,10g,딜
35,[스마트팜産] 친환경 바질 30g,"4,990원",부드러운 잎에 담긴 향긋함,채소,,https://img-cf.kurly.com/shop/data/goods/1625722109907l0.jpg,30g,바질
36,[스마트팜産] 친환경 와일드 루꼴라 100g,"5,990원",삐죽삐죽한 이파리에 깃든 고소함,채소,,https://img-cf.kurly.com/shop/data/goods/1625725551669l0.jpg,100g,루꼴라
37,[스마트팜産] 친환경 루꼴라 (아르굴라) 100g,"4,990원",쌉싸름하고 고소한 풍미 가득,채소,,https://img-cf.kurly.com/shop/data/goods/1625734093532l0.jpg,100g,루꼴라
38,친환경 홍고추 100g,"2,490원",요리에 더하는 붉은빛 매력,채소,,https://img-cf.kurly.com/shop/data/goods/162737266471l0.jpg,100g,홍고추
39,햇 감자 2kg,"5,490원",푸짐하게 즐기는 파근파근함,채소,,https://img-cf.kurly.com/shop/data/goods/1618798084808l0.jpg,2kg,감자
40,오이 5입,"6,990원",넉넉하게 만나는 수분 가득 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1619414131362l0.jpg,5입,오이
41,[기획특가] 햇 양파 3kg,"4,990원",넉넉하게 누리는 단골 식재료,채소,,https://img-cf.kurly.com/shop/data/goods/1608528305940l0.jpg,3kg,양파
42,친환경 조각 양배추 400g,"2,290원",건강하게 재배한 만능채소,채소,,https://img-cf.kurly.com/shop/data/goods/1614734272786l0.jpg,400g,양배추
43,친환경 대파 250g,"1,890원",향이 진하고 단맛도 강한 싱싱한 대파 (250g),채소,,https://img-cf.kurly.com/shop/data/goods/1579511175292l0.jpg,250g,대파
44,[KF365] 새송이버섯 400g,"1,450원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1583481623381l0.jpg,400g,새송이버섯
45,친환경 표고버섯 300g,"4,990원",요리에 감칠맛을 더하는 재료,채소,,https://img-cf.kurly.com/shop/data/goods/1619169601466l0.jpg,300g,표고버섯
46,베이비 아스파라거스 100g,"3,490원",연하고 부드러운 줄기채소,채소,,https://img-cf.kurly.com/shop/data/goods/1602490157947l0.jpg,100g,아스파라거스
47,적양배추 1/2통,"1,990원",보라빛 잎에 깃든 싱그러운 단맛,채소,,https://img-cf.kurly.com/shop/data/goods/1616379523868l0.jpg,1/2통,적양배추
48,양상추 1입,"2,990원",샐러드에 빠지지 않는 아삭한 양상추,채소,,https://img-cf.kurly.com/shop/data/goods/1542260327430l0.jpg,1입,양상추
49,유기농 케일 (즙용) 300g,"1,990원",유기농 케일로 건강한 하루를 시작하세요 (300g 내외),채소,,https://img-cf.kurly.com/shop/data/goods/1470792844287l0.jpg,300g,케일
50,친환경 채소믹스 500g,"5,900원",손질 없이 다양한 채소를 한 번에 (1팩 500g),채소,,https://img-cf.kurly.com/shop/data/goods/1491876649273l0.jpg,500g,채소믹스
51,[KF365] 국산 브로콜리 1입,"2,990원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1593066585801l0.jpg,1입,브로콜리
52,깐 양파 2입 500g,"2,790원",요리에 바로 더하는 손질 양파,채소,,https://img-cf.kurly.com/shop/data/goods/1614228450971l0.jpg,500g,양파
53,손질 쌈배추 200g,"1,490원",쌈으로 즐기는 달큼한 배춧잎,채소,,https://img-cf.kurly.com/shop/data/goods/1602491514790l0.jpg,200g,쌈배추
54,[KF365] 다다기오이 3입,"3,000원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1592985466972l0.jpg,3입,다다기오이
55,가지 5입,"4,990원",넉넉하게 두고 쓰는 보랏빛 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1619414274354l0.jpg,5입,가지
56,친환경 가지 5입,"5,590원",넉넉하게 즐기는 영양만점 채소,채소,,https://img-cf.kurly.com/shop/data/goods/161950418242l0.jpg,5입,가지
57,나주 영산포 '햇' 꿀 밤고구마 3kg,"19,923원",영산포 황토질 토양에서 키운,채소,,https://img-cf.kurly.com/shop/data/goods/1605512383246l0.jpg,3kg,밤고구마
58,친환경 오이 5입,"5,290원",넉넉하게 누리는 아삭한 식감,채소,,https://img-cf.kurly.com/shop/data/goods/1619504022647l0.jpg,5입,오이
59,우엉채 200g,"2,990원",손질 걱정없는 밑반찬 재료,채소,,https://img-cf.kurly.com/shop/data/goods/161941463186l0.jpg,200g,우엉채
60,바로먹는 자숙 연근채 500g,"6,990원",간편하게 즐기는 오독오독한 뿌리 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1624608031133l0.jpg,500g,연근채
61,친환경 햇 양파 1kg,"2,481원",단단하고 아삭한 필수 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1623996383387l0.jpg,1kg,양파
62,[KF365] 가지 2입,"1,450원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1593066725283l0.jpg,2입,가지
63,친환경 쌈채소 모둠 200g,"3,190원",고기 없이 먹어도 맛있을 정도로 신선한 쌈채소 (200g),채소,,https://img-cf.kurly.com/shop/data/goods/1595210837486l0.jpg,200g,쌈채소
64,친환경 와일드 루꼴라 50g,"2,990원",뾰족하고 길쭉한 모양의 루꼴라,채소,,https://img-cf.kurly.com/shop/data/goods/1602489942783l0.jpg,50g,루꼴라
65,[KF365] 햇 감자 1kg,"2,500원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",채소,,https://img-cf.kurly.com/shop/data/goods/1613703525779l0.jpg,1kg,감자
66,친환경 햇 양파 350g,"1,690원",남길 걱정 없는 만능 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1623996225704l0.jpg,350g,양파
67,친환경 햇 감자 600g,"2,690원",어떤 음식을 해도 잘 어울리는 무농약 감자,채소,,https://img-cf.kurly.com/shop/data/goods/1456402788121l0.jpg,600g,감자
68,생 표고 슬라이스 150g,"3,590원",영양과 풍미가 가득한 간편 버섯,채소,,https://img-cf.kurly.com/shop/data/goods/1617606855759l0.jpg,150g,슬라이스
69,흙당근 1kg,"2,679원",영양 가득 당근을 더 신선하게 영양 가득 당근을 더 신선하게,채소,,https://img-cf.kurly.com/shop/data/goods/1583480091169l0.jpg,1kg,흙당근
70,경기 시금치 250g/단,"7,300원",두루 사용되는 국민 엽채류,채소,,https://img-cf.kurly.com/shop/data/goods/1583463505772l0.jpg,250g/단,시금치
