id,ingri,price,subscribe,bigcat,smallcat,imageurl,quantity,keyword
999,[도드람한돈] 등심 카레용 300g,"5,200원","100g 당 판매가: 1,733원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1602563597689l0.jpg,300g,돼지고기 등심
1000,[도드람한돈] 토시살 구이용 300g,"5,300원","100g 당 판매가: 1,767원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1602569275995l0.jpg,300g,돼지고기 토시살
1001,[이치류] 드라이에이징 양갈비 구이,"19,900원",숙성 양갈비의 진한 풍미!,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1592550466656l0.jpg,,양갈비
1002,무항생제 1등급 한돈 앞다리 3종,"5,400원","100g 당 판매가 :1,800원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1536223584418l0.jpg,3종,앞다리
1003,[하이포크] 한돈 뽈항정살 300g,"6,900원","구이용 (100g당 판매가 : 2,300원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/157862324354l0.jpg,300g,뽈항정살
1004,1등급 한우 목심 샤브샤브용 200g,"13,000원","100g당 가격: 6,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1592204483246l0.jpg,200g,샤브샤브용
1005,[미자언니네] 일품 한우 떡갈비 (냉동),"12,150원",촉촉하고 부드러운 한우의 풍미,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1567487419428l0.jpg,,떡갈비
1006,[가나안덕] 오리 주물럭,"7,900원",매콤한 양념의 오리주물럭!,정육·계란,,https://img-cf.kurly.com/shop/data/goods/161467387075l0.jpg,,오리
1007,[고불로186] 돼지 양념구이,"10,900원",든든하게 즐기는 목전지 양념구이,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1585282384959l0.jpg,,돼지
1008,[1855] 미국산 블랙앵거스 부채살 구이용 200g,"8,900원",100g당 판매가: 4450원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1571719767949l0.jpg,200g,구이용
1009,[도드람한돈] 앞다리 불고기용 300g,"5,200원","100g당 판매가: 1,733원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1602564082277l0.jpg,300g,불고기용
1010,[태랑] 호주산 MB6+ 와규 치마살 구이용 200g (냉장),"23,900원",100g당 판매가: 11000원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1613370096454l0.jpg,200g,200g
1011,무항생제 1등급 한돈 김장 수육용4종(냉장),"5,300원","김장철 쓰기좋은 수육용 4종 (사태, 앞다리, 목살, 삼겹)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1542094911519l0.jpg,수육용4종,김장
1012,[선물세트] 횡성축협한우 1+ 프리미엄세트 4호 (예약일 수령),"140,250원",양지200g*4팩+불고기200g*4팩,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628822274902l0.jpg,,(예약일
1013,[화식한우] 1등급 이상 한우 채끝 스테이크 250g(냉장),"37,000원","100g당 가격: 14,800원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1595221500159l0.jpg,250g,스테이크
1014,[하림] 닭한마리 칼국수 밀키트,"11,400원",온 가족이 즐기는 푸짐한 칼국수,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1585719524584l0.jpg,,칼국수
1015,[KF365] 미국산 우삼겹 구이용 1kg,"16,200원","100g당 판매가: 1,620원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1615351828175l0.jpg,1kg,구이용
1016,[고불로186] 사골 뚝배기 불고기,"12,000원",사골을 넣어 더 진한 맛,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1586764248983l0.jpg,,뚝배기
1017,[사리원] LA갈비,"18,500원",소금으로 깔끔하게 양념한 갈비,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1607586730386l0.jpg,,[사리원]
1018,[박달재 삼시세끼한우] 1++ 암소한우 안심 구이용 200g (냉장),"43,500원","100g당 가격: 21,750원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1622697950883l0.jpg,200g,200g
1019,[숭의가든] 옛날 소 불고기,"13,500원",달큰한 매력의 서울식 불고기,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1548666557291l0.jpg,,소
1020,[체어맨스리저브] 간장 돈불고기 600g(냉장),"9,405원","담백한 맛, 쫄깃한 식감",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1591152683999l0.jpg,600g,돈불고기
1021,[그리너스] 동물복지 닭 아랫날개 300g,"4,576원","100g 당 판매가 : 1,733원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1541645277813l0.jpg,300g,아랫날개
1022,[도드람한돈] 냉동 대패 목살 300g,"8,400원","100g당 판매가: 2,800원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1608092184578l0.jpg,300g,목살
1023,[경주천년한우] 1++ 한우 치마살 구이용 200g,"48,500원","100g당 가격: 22,800원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1595229288408l0.jpg,200g,구이용
1024,[선물세트] 경복궁 black 칼집 LA 갈비 세트,"51,920원",,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628819094287l0.jpg,,갈비
1025,[이목] 국내산 소고기 우둔 육전용 200g,"8,700원",100g당 판매가: 4350원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1598343415765l0.jpg,200g,육전용
1026,[마켓컬리X조인] 바로먹는 메츄리아 유정란,"1,600원",남녀노소 누구나 좋아하는 메츄리아,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1618290339918l0.jpg,,메츄리아
1027,[오랩] 요리란(전란) 500g,"3,950원",안전하고 편리한 액상계란,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1536889560691l0.jpg,500g,요리란(전란)
1028,[도드람한돈] 냉동 대패 앞다리살 300g,"5,400원","100g당 판매가: 2,833원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1608092290791l0.jpg,300g,앞다리살
1029,[자향돈] 무항생제 1등급 대패 목심 구이용 300g,"8,600원","100g당 판매가: 2,867원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/161467470929l0.jpg,300g,구이용
1030,[체리부로] 골든치킨 윙,"7,900원",짭조름한 튀김 속 부드러운 닭날개,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1581310009517l0.jpg,,골든치킨
1031,[우리흑돈] 무항생제 흑돼지 목살 2종,"13,000원","구이용/수육용 (100g당 판매가 : 4,333원/4,200원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1603699105807l0.jpg,2종,목살
1032,[제주도니] 제주 흑돼지 삼겹살 300g (냉장),"16,200원","100g당 판매가 : 5,400원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/154891717873l0.jpg,300g,300g
1033,"[Kurly's] 간편하게 바삭, 8겹 등심 돈까스","5,015원",켜켜이 쌓아 올린 무항생제 등심 8겹의 식감,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1603090136687l0.jpg,,등심
1034,[오타후쿠] 비건 폰즈소스,"5,900원",상큼한 풍미가 입맛을 돋우는 비건 폰즈소스,정육·계란,,https://img-cf.kurly.com/shop/data/goods/162788014951l0.jpg,,비건
1035,[녹색한우] 무항생제 1+ 한우 앞다리 국거리용 200g,"14,000원","100g당 가격: 7,000원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/15458937486l0.jpg,200g,국거리용
1036,[화식한우] 1등급 이상 한우 양지 국거리용 200g 2종,"17,500원","100g당 가격: 8,750원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1625730736796l0.jpg,2종,200g
1037,[미트클레버] 간편 데리야키 막창,"11,900원",만능 소스와 돼지 막창의 만남,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1577770406857l0.jpg,,데리야키
1038,"[Kurly's] 간편하게 바삭, 치즈 롤까스","8,010원",한 입 가득 느껴지는 치즈의 맛,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1602491854521l0.jpg,,치즈
1039,[설성목장] 무항생제 한돈 고추장 불고기,"11,900원","해동 필요 없는 냉장 양념육(100g당 판매가 : 2,380원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1542098176891l0.jpg,,고추장
1040,[이목] 국내산 소고기 국거리용 200g 2종,"8,000원",100g당 판매가: 4000원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1625730453396l0.jpg,200g 2종,200g
1041,[하이포크] 그때 그 뒷고기 뽈항정살 500g(냉동),"11,900원","100g당 판매가 : 2,380원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1615270683701l0.jpg,500g,뽈항정살
1042,[경주천년한우] 1++ 한우 불고기용 200g,"14,220원","100g당 가격: 7,900원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1595231948202l0.jpg,200g,불고기용
1043,비빔 반숙란 (수란),"2,650원",간단하고 맛있는 한 끼를 위한,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1606368864993l0.jpg,,반숙란
1044,[KF365] 생 등심 돈까스 8입 1kg (냉장),"12,900원",넉넉하게 즐기는 바삭한 돈가스,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628835067268l0.jpg,1kg,1kg
1045,[녹색한우] 무항생제 1+ 한우 채끝 구이용 200g,"35,000원","100g당 가격: 17,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1545294814117l0.jpg,200g,구이용
1046,[강남면옥] 소갈비찜,"26,500원",보는 맛과 먹는 맛 모두 푸짐,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1593406680981l0.jpg,,[강남면옥]
1047,정직한 구운란 6구,"4,050원",8시간 동안 가마에서 구워낸,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1546239209401l0.jpg,6구,구운란
1048,[새벽한돈] 한돈 대패 목살 300g,"7,900원","구이용 (100g당 판매가 : 2,633원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1612334826571l0.jpg,300g,목살
1049,[푸드밀리] 순한 춘천 닭갈비,"9,900원",내 입에 딱맞는 닭갈비 요리,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1583306550432l0.jpg,,춘천
1050,"[PPUL] 1++ 한우 찹 스테이크 (우둔,설도, 설깃) 200g","17,000원","100g당 가격: 8,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1573105639720l0.jpg,200g,설깃)
1051,[My little recipe] 사리듬뿍 순살 닭갈비 (2인용),"16,700원",다채롭게 즐기는 매콤 닭갈비,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1589521767820l0.jpg,(2인용),닭갈비
1052,[kim's Butcher] 한우 등심 샤브용 300g (냉동),"15,900원","100g당 판매가 : 5,300원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1624500535603l0.jpg,300g,300g
1053,[도드람한돈] 앞다리 찌개용 300g,"5,200원","100g당 판매가: 1,733원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1602564186962l0.jpg,300g,찌개용
1054,[PPUL] 1++ 한우 정육 슬라이스 200g,"17,000원","100g당 가격: 8,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1573107099611l0.jpg,200g,슬라이스
1055,[이목] 무항생제 소고기 안심 찹 스테이크 200g,"19,900원",100g당 판매가: 9950원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1596529879966l0.jpg,200g,스테이크
1056,[도드람한돈] 삼겹살 구이용 300g,"10,500원","100g당 판매가: 3,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1602568805710l0.jpg,300g,구이용
1057,[PPUL] 1++ 한우 살치살 구이용 150g,"42,000원","100g당 가격: 28,000원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1585631196851l0.jpg,150g,구이용
1058,[선물세트] PPUL 1++한우 프리미엄 VIP 세트 (예약일 수령),"1,170,000원","샤토브리앙800g,채끝800g,업진살800g,로스등심400g,꽃등심400g",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1599615441136l0.jpg,,(예약일
1059,[녹색한우] 무항생제 1+ 한우 삼각살 구이용 200g,"14,000원","100g당 가격: 7,000원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1587523376535l0.jpg,200g,구이용
1060,[이베리카] 스페인산 세보데깜뽀 플루마 구이용 200g (냉동),"16,500원","100g 당 판매가 : 8,250원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1589949551265l0.jpg,200g,200g
1061,[메인디쉬] 한우 곱창,"21,000원",소금 간으로 깔끔하게 완성,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1614231413754l0.jpg,,한우
1062,[KF365] 1등급 닭볶음탕용 1kg (냉장),"5,800원",100g 당 판매가: 580원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1604900813624l0.jpg,1kg,1kg
1063,[KF365] 한돈 삼겹 대패 600g(냉동),"14,100원","100g당 판매가 2,350원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/161535215418l0.jpg,600g,대패
1064,[선물세트] [서서갈비] 양념 갈비 혼합세트,"135,000원",소갈비살 구이1kg + 소살치살 구이1kg,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628827909564l0.jpg,,갈비
1065,[녹색한우] 무항생제 1+ 한우 등심 구이용 200g(떡심제거),"32,000원","100g당 가격: 16,000원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1591588942740l0.jpg,200g,구이용
1066,[미트엔조이] 미국산 프라임 척아이롤 구이용 300g,"11,020원","100g당 판매가: 3,300원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1588568567576l0.jpg,300g,구이용
1067,[남도우애] 무항생제 1++ 한우 등심 구이용 200g(떡심제거),"37,900원","100g당 가격: 18,950원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1587522485895l0.jpg,200g,구이용
1068,[맛의고수] 후끈화끈매운맛 양념불고기 200g,"4,900원",스트레스 풀리는 화끈한 맛의 불고기,정육·계란,,https://img-cf.kurly.com/shop/data/goods/158338772566l0.jpg,200g,양념불고기
1069,[엄마味소] 우둔 다짐육 120g (냉동),"5,600원","아이용 소고기를 잘게 다져 만든, 필수 이유식 재료",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1593146534527l0.jpg,120g,120g
1070,[선물세트] 사미헌 갈비탕/양념LA갈비 혼합세트,"63,000원",갈비탕1kg * 2팩+LA갈비500g*2팩,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628563238585l0.jpg,,갈비탕/양념LA갈비
1071,[태우] 유황 먹인 한돈 삼겹살 에어프라이어용 300g,"9,200원","에어프라이어용 (100g당 판매가 : 3,066원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1594002888229l0.jpg,300g,에어프라이어용
1072,[태우한우] 1+ 한우 포터 하우스 스테이크 800g(냉장),"109,000원","100g당 가격: 13,625원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1543305000114l0.jpg,800g,스테이크
1073,[PPUL] 1++ 한우 설깃머리 구이용 200g,"22,000원","100g당 가격: 11,000원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/157310474458l0.jpg,200g,구이용
1074,1등급 한우 양지 국거리용 200g 2종,"16,000원","100g당 가격: 8,000원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1625722698835l0.jpg,2종,200g
1075,[델리치오] 미국산 초이스 LA갈비 구이용 800g(냉동),"39,000원",100g당 판매가: 4875원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1564463388430l0.jpg,800g,구이용
1076,[PPUL] 1++ 한우 살치살 스테이크 150g,"42,000원","100g당 가격: 28,000원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1585630573509l0.jpg,150g,스테이크
1077,[선물세트] 미트원 한우 언양식 불고기세트,"103,500원",900g * 2팩,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628735441385l0.jpg,,언양식
1078,[이베리카] 스페인산 베요타 100% 프레사 구이용 200g (냉동),"18,000원","100g 당 판매가 : 9,000원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1589948572743l0.jpg,200g,200g
1079,[CJ] 꼬마 돈까스,"3,980원",육즙 가득한 한입 돈까스,정육·계란,,https://img-cf.kurly.com/shop/data/goods/161483445332l0.jpg,,꼬마
1080,"[Kurly's] 간편하게 바삭, 통등심 돈까스","4,845원",씹는 맛이 살아있는 무항생제 통등심 돈까스,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1602494886391l0.jpg,,통등심
1081,[한일관 X 백년가게] 서울불고기 패밀리팩(1kg),"30,000원",보다 쫄깃해진 촉촉한 불고기,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1612933163983l0.jpg,1kg,서울불고기
1082,[이목] 무항생제 국내산 소고기 업진살 200g (냉장),"22,900원","100g당 판매가: 11,450원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1626759040960l0.jpg,200g,200g
1083,[이목] 국내산 소고기 잡뼈 2kg(냉동),"7,900원",100g당 판매가: 395원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1612338326426l0.jpg,2kg,잡뼈
1084,[그리너스] 동물복지 닭 안심살 300g,"4,420원","100g 당 판매가 : 2,100원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1541647220260l0.jpg,300g,안심살
1085,[횡성축협한우] 1++ 한우 갈비살 200g,"39,800원",한 점으로 맛보는 다양한 매력,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1617591567452l0.jpg,200g,갈비살
1086,[PPUL] 1++ 한우 절단국거리용 200g,"17,000원","100g당 가격: 8,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1575270527736l0.jpg,200g,절단국거리용
1087,[오가니아] 호주산 유기농 소고기 목심 다용도팩 300g,"15,130원",100g당 판매가: 5933원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1597295014653l0.jpg,300g,다용도팩
1088,무항생제 1등급 암퇘지 삼겹 찌개용 200g,"5,500원","찌개용 (100g당 판매가 : 2,750원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1556764885647l0.jpg,200g,찌개용
1089,[견우] 미국산 대패 삼겹살 1kg,"13,515원",빠르게 볶아 먹는 얇은 삼겹살,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1614221130503l0.jpg,1kg,삼겹살
1090,[버크셔세상] 버크셔K 흑돼지 목살 500g(냉장),"21,000원","촉촉하고 쫀듯한 감칠맛 (100g 당 판매가: 4,200원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1526289808717l0.jpg,500g,목살
1091,[주원산오리] 오리스테이크 500g,"10,500원",국내산 오리고기로 만든,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1604904162307l0.jpg,500g,오리스테이크
1092,[모노링크] 안심 돈까스,"12,000원",바삭한 겉과 부드러운 속,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1543826461323l0.jpg,,안심
1093,[델리치오] 와규 햄버거 패티,"10,425원",와규 98.9% 함유로 진한 육향이 가득한,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1524450938653l0.jpg,,햄버거
1094,[맛의고수] 양념차돌박이 200g 첨맛본맵단맛,"9,900원",매콤달콤한 차돌 구이,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1594368114276l0.jpg,200g,200g
1095,[이목] 국내산 소고기 안심 스테이크 200g,"15,500원",100g당 판매가: 7750원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1598414917305l0.jpg,200g,스테이크
1096,[이목] 국내산 소고기 다짐육 200g (냉장),"7,300원",100g당 판매가: 3650원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1598344101541l0.jpg,200g,200g
1097,[소호好담] 이목 국내산 소고기 스테이크 세트 (예약일 수령),"94,050원","안심 300g, 채끝 300g , 등심 300gx2",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1629954850152l0.jpg,,(예약일
1098,[Kurly's] 동물복지 구운란 10구,"6,800원",탱탱한 구운란의 매력 (1구당: 680원),정육·계란,,https://img-cf.kurly.com/shop/data/goods/1592284248795l0.jpg,10구,구운란
1099,[이베리쿡] 스페인산 이베리코 목살 500g (냉동),"18,900원","구이용 (100g 당 3,780원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1543384333749l0.jpg,500g,500g
1100,[도드람한돈] 등심 다짐용 300g,"5,200원","100g 당 판매가: 1,733원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1601964579843l0.jpg,300g,다짐용
1101,정직한 훈제란 6구,"4,550원",친환경 무항생제 달걀과 참나무의 만남,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1546239427765l0.jpg,6구,훈제란
1102,[미트엔조이] 미국산 갈비살 구이용 300g,"14,800원",100g당 판매가: 4933원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1588576723471l0.jpg,300g,구이용
1103,[제주도니] 제주 1등급 암퇘지 목살 300g,"13,000원","구이용 (100g당 판매가 : 4,333원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/157284862728l0.jpg,300g,목살
1104,[포크밸리] 한돈 대패 앞다리살 300g,"4,410원","다목적용 (100g당 판매가 : 1,633원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1604379428774l0.jpg,300g,앞다리살
1105,[그리너스] 동물복지 생 닭 1050g(냉장),"7,480원",100g 당 판매가 : 809원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1541645410284l0.jpg,1050g,닭
1106,[태우] 유황 먹인 한돈 뒷다리 불고기 300g,"3,600원","불고기용 (100g당 판매가 ; 1,200원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/15940128587l0.jpg,300g,불고기
1107,[이목] 무항생제 소고기 등심 구이용 200g,"11,500원",100g당 판매가: 6250원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1596529521375l0.jpg,200g,구이용
1108,[PPUL] 1++ 한우 채끝 스테이크 250g(냉장),"59,000원","100g당 가격: 23,600원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1573108832532l0.jpg,250g,스테이크
1109,[소호好담] 1등급 한우 실속 구이세트 2호 (냉장) (예약일 수령),"199,000원","등심구이 500g, 안심 스테이크 500g",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1630312300772l0.jpg,,(예약일
1110,[체어맨스리저브] 미국산 돌돌말이 제육볶음 600g (냉동),"7,120원",지방이 적어 담백한 부위,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1608532875595l0.jpg,600g,600g
1111,[kim's butcher] 한우 갈빗살 구이용 200g (냉장),"21,165원","100g당 판매가 : 12,450원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1623120222480l0.jpg,200g,200g
1112,[그리츠 시그니처 램] 뉴질랜드산 양갈비 300g,"15,000원",호텔 레스토랑의 시그니처 메뉴,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1558061090704l0.jpg,300g,양갈비
1113,[태우] 유황 먹인 한돈 다짐육 200g,"2,900원","이유식용 (100g당 판매가 : 1,450원)",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1594012756990l0.jpg,200g,다짐육
1114,[더오담] 사각 미니 치킨 까스450g,"6,390원",(에어프라이어 전용) 체다치즈가 함유된 치킨까스,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1613978182278l0.jpg,450g,치킨
1115,1등급 이상 한우 차돌박이 구이용 200g,"16,055원","100g당 가격: 8,450원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1535445294133l0.jpg,200g,구이용
1116,[BEHER] 스페인산 이베리코 돼지 항정살 180g (냉동),"11,900원",쫄깃쫄깃한 식감 가득한 이색 부위,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1596004938472l0.jpg,180g,180g
1117,[콜린스 다이닝] 무항생제 한돈 고추장 불고기,"10,500원",깔끔하게 매콤달콤한,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1603951666989l0.jpg,,고추장
1118,[선물세트] 호주산 와규 구이세트 3호,"167,400원",등심250g*2팩+부채살200g*2팩+갈비살200g*2팩+치마살200g*2팩,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628826236990l0.jpg,,구이세트
1119,[이목] 국내산 소고기 사골 2kg(냉동),"13,000원",100g당 판매가: 650원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/161233810397l0.jpg,2kg,사골
1120,[델리치오] 미국산 초이스 찜갈비 800g(냉동),"32,000원",100g당 판매가: 4000원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1564464054236l0.jpg,800g,찜갈비
1121,[가농바이오] 오메가에그 무항생제 1+등급 특란 20구,"8,360원",20구가 선사하는 든든함,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1592199656693l0.jpg,20구,특란
1122,[선물세트] 횡성축협한우 1+ 프리미엄세트 4호,"140,250원",양지200g*4팩+불고기200g*4팩,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628822269538l0.jpg,,프리미엄세트
1123,1등급 한우 다짐육 이유식용 200g,"9,350원","100g당 가격: 5,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1583887560672l0.jpg,200g,이유식용
1124,[마이셰프] 두툼 우리쌀 돈까스,"5,900원",국내산 등심과 쌀가루로 만든,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1596528833339l0.jpg,,우리쌀
1125,[소중한식사] 소고기버섯샐러드 두부말이키트,"6,800원",모양도 예쁘고 맛도 좋은 두부쌈,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1595923554809l0.jpg,,소고기버섯샐러드
1126,[토마스푸드] 호주산 프렌치드 숄더랙 300g (냉장),"15,900원",도톰하게 구워 즐기는 호주 램,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1528781732194l0.jpg,300g,300g
1127,[하림이닭] 냉동 수비드 닭가슴살 2종,"1,700원",수비드 공법으로 더 촉촉한 닭가슴살!,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1587531587296l0.jpg,2종,닭가슴살
1128,1등급 한우 채끝 스키야키용 200g,"27,000원","100g당 가격: 13,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1592205747881l0.jpg,200g,스키야키용
1129,[사리원] 바싹 불고기,"8,500원",고기의 결이 살아있는 불고기,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1607576815906l0.jpg,,바싹
1130,[남도우애] 무항생제 1++ 한우 안심 스테이크 200g,"45,000원","100g당 가격: 22,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1595836800807l0.jpg,200g,스테이크
1131,[선물세트] 호주산 와규 구이정육세트 3호 (예약일 수령),"99,000원",등심250g*2팩+불고기200g*2팩+양지200g*2팩,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1628825922167l0.jpg,,(예약일
1132,[오키친] 치즈인더버거,"5,900원",두 가지 치즈를 품은 스테이크,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1577346908362l0.jpg,,[오키친]
1133,[달구지푸드] 훈제삼겹 500g,"15,500원",훈제 삼겹살을 집에서 간편하게,정육·계란,,https://img-cf.kurly.com/shop/data/goods/1584680339991l0.jpg,500g,훈제삼겹
1134,[하림] 삼계탕용 생닭 (6호),"3,069원",100g 당 판매가 : 520원,정육·계란,,https://img-cf.kurly.com/shop/data/goods/159420038312l0.jpg,,생닭
1135,[소호好담] 1등급 한우 실속 구이세트 1호 (냉장) (예약일 수령),"149,000원","등심(구이) 400g, 채끝(구이) 400g",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1630312120341l0.jpg,,(예약일
1136,[도드람한돈] 냉동 대패 삼겹살 300g,"8,500원","100g당 판매가: 2,833원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1608092375988l0.jpg,300g,삼겹살
1137,[배나무골] 연잎 훈제 오리 (냉장),"8,900원",연잎의 향긋함을 머금은 (400g),정육·계란,,https://img-cf.kurly.com/shop/data/goods/160066902174l0.jpg,300g,오리
1138,1등급 한우 등심 구이용 200g,"22,500원","100g당 가격: 12,500원",정육·계란,,https://img-cf.kurly.com/shop/data/goods/1584517859395l0.jpg,200g,구이용
