,name,ingridient
42,비빔냉면,"['설탕' '식초' '육수' '깨소금' '냉면' '계란' '방울토마토' '샐러드채소' '무' '[배합초] 소금' '설탕' '식초'
 '물' '[비빔양념] 간장' '고추장' '다진마늘' '다진파' '물엿']"
43,미소된장국,['미소' '두부' '간장' '팽이버섯' '실파' '다시마']
44,꽁치김치찌개,['김치' '꽁치' '무' '간장' '마늘' '김칫국물' '대파']
45,떡만두국,"['떡국떡' '만두피' '구운김' '대파' '다진마늘' '청정원맛선생' '국간장' '참기름' '만두피' '다진돼지고기' '배추김치'
 '숙주' '두부' '파' '계란']"
46,채소피클,['미니파프리카' '오이' '당근' '브로콜리' '양배추' '식초' '발효초' '설탕' '소금' '통후추' '물']
47,발효초요구르트,['플레인요구르트' '발효초' '꿀' '과일통조림' '초콜릿']
48,쫄면,['식초' '설탕' '간장' '참기름' '다진마늘' '고추장' '쫄면' '오이' '파프리카' '깻잎' '새싹채소' '물엿']
49,김치우동,"['우동면' '참기름' '김치' '쑥갓' '김' '[육수] 시판용장국' '물' '고춧가루' '국간장' '소금' '후춧가루' '맛술'
 '설탕' '식초' '고춧가루' '새우']"
50,해물순두부찌개,['두부' '계란' '청정원어장' '고춧가루' '깨소금' '양파' '미더덕' '바지락' '잔새우' '다시마' '멸치' '참기름']
51,해물매운탕,"['대하' '홍고추' '미더덕' '바지락' '꽃게' '무' '양파' '청고추' '다시마' '미나리' '쑥갓' '고춧가루' '국간장'
 '맛술' '다진마늘' '다진생강' '후춧가루' '소금' '참기름' '오징어']"
52,새송이쌈장구이,"['청주' '간장' '홍고추' '참기름' '올리브오일' '청고추' '양파' '표고버섯' '피망' '마늘' '새송이버섯'
 '청정원순창쌈장' '물' '쪽파' '다진마늘' '설탕']"
53,해물볶음밥,"['파프리카' '팽이버섯' '새우' '오징어' '바지락' '날치알' '파프리카' '소금' '후춧가루' '굴소스' '밥' '참기름'
 '청주']"
54,오코노미야키,"['양배추' '새우' '실파' '베이컨' '굴소스' '가쯔오브시' '양파' '팽이버섯' '소금' '후춧가루' '밀가루' '다시물'
 '계란' '마요네즈']"
55,두부조림,['두부' '청고추' '홍고추' '소금' '굴소스' '물' '참기름' '다진마늘']
56,돼지고기김치찌개,['신김치' '돼지고기안심' '청정원국선생' '표고버섯' '식용유' '청고추' '후춧가루' '맛술' '대파']
57,해물찌개,"['홍합' '모시조개' '무' '홍고추' '대파' '미나리' '고춧가루' '다진마늘' '다진생강' '고추장' '소금' '후춧가루'
 '다시마' '청고추' '쭈꾸미' '간장' '오징어' '새우' '양파']"
